Sentences,Category
The team celebrated their championship win with a grand parade through the city.,**Sports**
Serena Williams broke another record at the Australian Open with her powerful serve.,The category is **Sports**. 
The coach implemented a new strategy to improve the team's defensive line.,The category is **Sports**. 
"The marathon runner finished in under two hours, setting a new world record.",The category is **Sports**.
The soccer match was postponed due to heavy rain and unsafe playing conditions.,**Sports**
The company reported a 15% increase in quarterly profits due to higher sales.,Category: **Business/Finance**
The board of directors met to discuss the upcoming merger with a major competitor.,The category is **Business/Finance**. 
The startup received venture capital funding to accelerate its product development.,The category is **Business/Finance**. 
The CEO announced a new initiative to enhance employee work-life balance.,The category is **Business/Finance**. 
The market research indicated a growing demand for eco-friendly consumer products.,The sentence falls into the **Business/Finance** category. 
Scientists discovered a new exoplanet in the habitable zone of its star system.,The category is **Science/Technology**. 
The research team published their findings on the effects of climate change on coral reefs.,The category is **Science/Technology**. 
A breakthrough in quantum computing could revolutionize data processing speeds.,The category is **Science/Technology**. 
The experiment aimed to understand the genetic basis of inherited diseases.,The category is **Science/Technology**. 
"Astronomers observed unusual activity in a distant galaxy, leading to new theories about dark matter.",**Science/Technology**
